APP_ID_C,target
app_108941,0.015815392
app_108942,0.0042417827
app_108943,0.044396333
app_108944,0.02553236
app_108945,0.010117442
app_108946,0.013098259
app_108947,0.027153116
app_108948,0.012169219
app_108949,0.010117442
app_108950,0.026551887
app_108951,0.0020948758
app_108952,0.021735266
app_108953,0.04595425
app_108954,0.009589895
app_108955,0.013369419
app_108956,0.049055807
app_108957,0.018852798
app_108958,0.019493857
app_108959,0.010117442
app_108960,0.04105979
app_108961,0.012018171
app_108962,0.0019149903
app_108963,0.008637042
app_108964,0.010192174
app_108965,0.015994865
app_108966,0.028317211
app_108967,0.024384758
app_108968,0.03487908
app_108969,0.014762337
app_108970,0.017299972
app_108971,0.0152872205
app_108972,0.008820159
app_108973,0.02249255
app_108974,0.027832294
app_108975,0.035549123
app_108976,0.018817954
app_108977,0.004354633
app_108978,0.008823195
app_108979,0.009244465
app_108980,0.0021222592
app_108981,0.028317211
app_108982,0.02277671
app_108983,0.028317211
app_108984,0.011296501
app_108985,0.008201602
app_108986,0.0010017615
app_108987,0.018666632
app_108988,0.028317211
app_108989,0.028317211
app_108990,0.0017248917
app_108991,0.006961053
app_108992,0.023328194
app_108993,0.09237485
app_108994,0.03409705
app_108995,0.006487495
app_108996,0.028317211
app_108997,0.05080499
app_108998,0.017366344
app_108999,0.10008785
app_109000,0.0027829225
app_109001,0.047080476
app_109002,0.01484635
app_109003,0.04824843
app_109004,0.028317211
app_109005,0.070746675
app_109006,0.012963978
app_109007,0.022928469
app_109008,0.0027788456
app_109009,0.014448233
app_109010,0.010698309
app_109011,0.027571447
app_109012,0.016997743
app_109013,0.021769019
app_109014,0.027153116
app_109015,0.001957275
app_109016,0.008898498
app_109017,0.04244031
app_109018,0.0042608497
app_109019,0.0021423032
app_109020,0.03139615
app_109021,0.010550843
app_109022,0.0035095648
app_109023,0.0049008224
app_109024,0.012982528
app_109025,0.014441098
app_109026,0.044776846
app_109027,0.0034756153
app_109028,0.01038211
app_109029,0.0024326793
app_109030,0.0070452937
app_109031,0.016829988
app_109032,0.012218856
app_109033,0.014140695
